dataset,domain,gcm_institution,gcm,experiment,ensemble,rcm_institution,rcm,rcm_version,member_id_CICA,cdbaisimip,cdbals,cd,cddbaisimip,cdd,clt,dtrbaisimip,dtrbals,dtr,evspsbl,fdbaisimip,fdbals,fd,hdbaisimip,hdbals,hd,huss,mrro,pet,psl,r01baisimip,r01,r10baisimip,r10,r20baisimip,r20,r,rlds,rsds,rx1day,rx5day,sdiibaisimip,sdii,sfcwind,spi6,spei6,t,tn,tnn,trbaisimip,trbals,tr,tx35baisimip,tx35bals,tx35,tx40baisimip,tx40bals,tx40,tx,txx
EUR-11_MOHC_HadGEM2-ES_rcp85_r1i1p1_CNRM_ALADIN63_CNRM-ALADIN63-v1,EUR-11,MOHC,HadGEM2-ES,rcp85,r1i1p1,CNRM,ALADIN63,v1,MOHC_HadGEM2-ES_r1i1p1_CNRM_ALADIN63_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EUR-11_MOHC_HadGEM2-ES_rcp85_r1i1p1_DMI_HIRHAM5_DMI-HIRHAM5-v2,EUR-11,MOHC,HadGEM2-ES,rcp85,r1i1p1,DMI,HIRHAM5,v2,MOHC_HadGEM2-ES_r1i1p1_DMI_HIRHAM5_v2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EUR-11_MOHC_HadGEM2-ES_rcp85_r1i1p1_GERICS_REMO2015_GERICS-REMO2015-v1,EUR-11,MOHC,HadGEM2-ES,rcp85,r1i1p1,GERICS,REMO2015,v1,MOHC_HadGEM2-ES_r1i1p1_GERICS_REMO2015_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EUR-11_MOHC_HadGEM2-ES_rcp85_r1i1p1_IPSL_WRF381P_IPSL-WRF381P-v1,EUR-11,MOHC,HadGEM2-ES,rcp85,r1i1p1,IPSL,WRF381P,v1,MOHC_HadGEM2-ES_r1i1p1_IPSL_WRF381P_v1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EUR-11_MOHC_HadGEM2-ES_rcp85_r1i1p1_KNMI_RACMO22E_KNMI-RACMO22E-v2,EUR-11,MOHC,HadGEM2-ES,rcp85,r1i1p1,KNMI,RACMO22E,v2,MOHC_HadGEM2-ES_r1i1p1_KNMI_RACMO22E_v2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EUR-11_MOHC_HadGEM2-ES_rcp85_r1i1p1_MOHC_HadREM3-GA7-05_MOHC-HadREM3-GA7-05-v1,EUR-11,MOHC,HadGEM2-ES,rcp85,r1i1p1,MOHC,HadREM3-GA7-05,v1,MOHC_HadGEM2-ES_r1i1p1_MOHC_HadREM3-GA7-05_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EUR-11_MOHC_HadGEM2-ES_rcp85_r1i1p1_SMHI_RCA4_SMHI-RCA4-v1,EUR-11,MOHC,HadGEM2-ES,rcp85,r1i1p1,SMHI,RCA4,v1,MOHC_HadGEM2-ES_r1i1p1_SMHI_RCA4_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EUR-11_MOHC_HadGEM2-ES_rcp85_r1i1p1_UHOH_WRF361H_UHOH-WRF361H-v1,EUR-11,MOHC,HadGEM2-ES,rcp85,r1i1p1,UHOH,WRF361H,v1,MOHC_HadGEM2-ES_r1i1p1_UHOH_WRF361H_v1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EUR-11_MPI-M_MPI-ESM-LR_rcp85_r1i1p1_CLMcom-ETH_COSMO-crCLIM-v1-1_CLMcom-ETH-COSMO-crCLIM-v1-1-v1,EUR-11,MPI-M,MPI-ESM-LR,rcp85,r1i1p1,CLMcom-ETH,COSMO-crCLIM-v1-1,v1,MPI-M_MPI-ESM-LR_r1i1p1_CLMcom-ETH_COSMO-crCLIM-v1-1_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EUR-11_MPI-M_MPI-ESM-LR_rcp85_r1i1p1_CLMcom_CCLM4-8-17_CLMcom-CCLM4-8-17-v1,EUR-11,MPI-M,MPI-ESM-LR,rcp85,r1i1p1,CLMcom,CCLM4-8-17,v1,MPI-M_MPI-ESM-LR_r1i1p1_CLMcom_CCLM4-8-17_v1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EUR-11_MPI-M_MPI-ESM-LR_rcp85_r1i1p1_CNRM_ALADIN63_CNRM-ALADIN63-v1,EUR-11,MPI-M,MPI-ESM-LR,rcp85,r1i1p1,CNRM,ALADIN63,v1,MPI-M_MPI-ESM-LR_r1i1p1_CNRM_ALADIN63_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EUR-11_MPI-M_MPI-ESM-LR_rcp85_r1i1p1_DMI_HIRHAM5_DMI-HIRHAM5-v1,EUR-11,MPI-M,MPI-ESM-LR,rcp85,r1i1p1,DMI,HIRHAM5,v1,MPI-M_MPI-ESM-LR_r1i1p1_DMI_HIRHAM5_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EUR-11_MPI-M_MPI-ESM-LR_rcp85_r1i1p1_ICTP_RegCM4-6_ICTP-RegCM4-6-v1,EUR-11,MPI-M,MPI-ESM-LR,rcp85,r1i1p1,ICTP,RegCM4-6,v1,MPI-M_MPI-ESM-LR_r1i1p1_ICTP_RegCM4-6_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EUR-11_MPI-M_MPI-ESM-LR_rcp85_r1i1p1_KNMI_RACMO22E_KNMI-RACMO22E-v1,EUR-11,MPI-M,MPI-ESM-LR,rcp85,r1i1p1,KNMI,RACMO22E,v1,MPI-M_MPI-ESM-LR_r1i1p1_KNMI_RACMO22E_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EUR-11_MPI-M_MPI-ESM-LR_rcp85_r1i1p1_MOHC_HadREM3-GA7-05_MOHC-HadREM3-GA7-05-v1,EUR-11,MPI-M,MPI-ESM-LR,rcp85,r1i1p1,MOHC,HadREM3-GA7-05,v1,MPI-M_MPI-ESM-LR_r1i1p1_MOHC_HadREM3-GA7-05_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EUR-11_MPI-M_MPI-ESM-LR_rcp85_r1i1p1_MPI-CSC_REMO2009_MPI-CSC-REMO2009-v1,EUR-11,MPI-M,MPI-ESM-LR,rcp85,r1i1p1,MPI-CSC,REMO2009,v1,MPI-M_MPI-ESM-LR_r1i1p1_MPI-CSC_REMO2009_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EUR-11_MPI-M_MPI-ESM-LR_rcp85_r1i1p1_SMHI_RCA4_SMHI-RCA4-v1a,EUR-11,MPI-M,MPI-ESM-LR,rcp85,r1i1p1,SMHI,RCA4,v1a,MPI-M_MPI-ESM-LR_r1i1p1_SMHI_RCA4_v1a,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EUR-11_MPI-M_MPI-ESM-LR_rcp85_r1i1p1_UHOH_WRF361H_UHOH-WRF361H-v1,EUR-11,MPI-M,MPI-ESM-LR,rcp85,r1i1p1,UHOH,WRF361H,v1,MPI-M_MPI-ESM-LR_r1i1p1_UHOH_WRF361H_v1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EUR-11_MPI-M_MPI-ESM-LR_rcp85_r2i1p1_CLMcom-ETH_COSMO-crCLIM-v1-1_CLMcom-ETH-COSMO-crCLIM-v1-1-v1,EUR-11,MPI-M,MPI-ESM-LR,rcp85,r2i1p1,CLMcom-ETH,COSMO-crCLIM-v1-1,v1,MPI-M_MPI-ESM-LR_r2i1p1_CLMcom-ETH_COSMO-crCLIM-v1-1_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
EUR-11_MPI-M_MPI-ESM-LR_rcp85_r2i1p1_MPI-CSC_REMO2009_MPI-CSC-REMO2009-v1,EUR-11,MPI-M,MPI-ESM-LR,rcp85,r2i1p1,MPI-CSC,REMO2009,v1,MPI-M_MPI-ESM-LR_r2i1p1_MPI-CSC_REMO2009_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EUR-11_MPI-M_MPI-ESM-LR_rcp85_r2i1p1_SMHI_RCA4_SMHI-RCA4-v1,EUR-11,MPI-M,MPI-ESM-LR,rcp85,r2i1p1,SMHI,RCA4,v1,MPI-M_MPI-ESM-LR_r2i1p1_SMHI_RCA4_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EUR-11_MPI-M_MPI-ESM-LR_rcp85_r3i1p1_CLMcom-ETH_COSMO-crCLIM-v1-1_CLMcom-ETH-COSMO-crCLIM-v1-1-v1,EUR-11,MPI-M,MPI-ESM-LR,rcp85,r3i1p1,CLMcom-ETH,COSMO-crCLIM-v1-1,v1,MPI-M_MPI-ESM-LR_r3i1p1_CLMcom-ETH_COSMO-crCLIM-v1-1_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EUR-11_MPI-M_MPI-ESM-LR_rcp85_r3i1p1_GERICS_REMO2015_GERICS-REMO2015-v1,EUR-11,MPI-M,MPI-ESM-LR,rcp85,r3i1p1,GERICS,REMO2015,v1,MPI-M_MPI-ESM-LR_r3i1p1_GERICS_REMO2015_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EUR-11_MPI-M_MPI-ESM-LR_rcp85_r3i1p1_SMHI_RCA4_SMHI-RCA4-v1,EUR-11,MPI-M,MPI-ESM-LR,rcp85,r3i1p1,SMHI,RCA4,v1,MPI-M_MPI-ESM-LR_r3i1p1_SMHI_RCA4_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EUR-11_NCC_NorESM1-M_rcp85_r1i1p1_CLMcom-ETH_COSMO-crCLIM-v1-1_CLMcom-ETH-COSMO-crCLIM-v1-1-v1,EUR-11,NCC,NorESM1-M,rcp85,r1i1p1,CLMcom-ETH,COSMO-crCLIM-v1-1,v1,NCC_NorESM1-M_r1i1p1_CLMcom-ETH_COSMO-crCLIM-v1-1_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EUR-11_NCC_NorESM1-M_rcp85_r1i1p1_CNRM_ALADIN63_CNRM-ALADIN63-v1,EUR-11,NCC,NorESM1-M,rcp85,r1i1p1,CNRM,ALADIN63,v1,NCC_NorESM1-M_r1i1p1_CNRM_ALADIN63_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EUR-11_NCC_NorESM1-M_rcp85_r1i1p1_DMI_HIRHAM5_DMI-HIRHAM5-v3,EUR-11,NCC,NorESM1-M,rcp85,r1i1p1,DMI,HIRHAM5,v3,NCC_NorESM1-M_r1i1p1_DMI_HIRHAM5_v3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EUR-11_NCC_NorESM1-M_rcp85_r1i1p1_GERICS_REMO2015_GERICS-REMO2015-v1,EUR-11,NCC,NorESM1-M,rcp85,r1i1p1,GERICS,REMO2015,v1,NCC_NorESM1-M_r1i1p1_GERICS_REMO2015_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EUR-11_NCC_NorESM1-M_rcp85_r1i1p1_ICTP_RegCM4-6_ICTP-RegCM4-6-v1,EUR-11,NCC,NorESM1-M,rcp85,r1i1p1,ICTP,RegCM4-6,v1,NCC_NorESM1-M_r1i1p1_ICTP_RegCM4-6_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EUR-11_NCC_NorESM1-M_rcp85_r1i1p1_IPSL_WRF381P_IPSL-WRF381P-v1,EUR-11,NCC,NorESM1-M,rcp85,r1i1p1,IPSL,WRF381P,v1,NCC_NorESM1-M_r1i1p1_IPSL_WRF381P_v1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EUR-11_NCC_NorESM1-M_rcp85_r1i1p1_KNMI_RACMO22E_KNMI-RACMO22E-v1,EUR-11,NCC,NorESM1-M,rcp85,r1i1p1,KNMI,RACMO22E,v1,NCC_NorESM1-M_r1i1p1_KNMI_RACMO22E_v1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EUR-11_NCC_NorESM1-M_rcp85_r1i1p1_MOHC_HadREM3-GA7-05_MOHC-HadREM3-GA7-05-v1,EUR-11,NCC,NorESM1-M,rcp85,r1i1p1,MOHC,HadREM3-GA7-05,v1,NCC_NorESM1-M_r1i1p1_MOHC_HadREM3-GA7-05_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EUR-11_NCC_NorESM1-M_rcp85_r1i1p1_SMHI_RCA4_SMHI-RCA4-v1,EUR-11,NCC,NorESM1-M,rcp85,r1i1p1,SMHI,RCA4,v1,NCC_NorESM1-M_r1i1p1_SMHI_RCA4_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EUR-11_CNRM-CERFACS_CNRM-CM5_rcp85_r1i1p1_CLMcom_CCLM4-8-17_CLMcom-CCLM4-8-17-v1,EUR-11,CNRM-CERFACS,CNRM-CM5,rcp85,r1i1p1,CLMcom,CCLM4-8-17,v1,CNRM-CERFACS_CNRM-CM5_r1i1p1_CLMcom_CCLM4-8-17_v1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
EUR-11_ICHEC_EC-EARTH_rcp85_r12i1p1_MOHC_HadREM3-GA7-05_MOHC-HadREM3-GA7-05-v1,EUR-11,ICHEC,EC-EARTH,rcp85,r12i1p1,MOHC,HadREM3-GA7-05,v1,ICHEC_EC-EARTH_r12i1p1_MOHC_HadREM3-GA7-05_v1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0
EUR-11_ICHEC_EC-EARTH_rcp85_r3i1p1_KNMI_RACMO22E_KNMI-RACMO22E-v1,EUR-11,ICHEC,EC-EARTH,rcp85,r3i1p1,KNMI,RACMO22E,v1,ICHEC_EC-EARTH_r3i1p1_KNMI_RACMO22E_v1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
EUR-11_MOHC_HadGEM2-ES_rcp85_r1i1p1_ICTP_RegCM4-6_ICTP-RegCM4-6-v1,EUR-11,MOHC,HadGEM2-ES,rcp85,r1i1p1,ICTP,RegCM4-6,v1,MOHC_HadGEM2-ES_r1i1p1_ICTP_RegCM4-6_v1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EUR-11_MPI-M_MPI-ESM-LR_rcp85_r1i1p1_IPSL_WRF381P_IPSL-WRF381P-v1,EUR-11,MPI-M,MPI-ESM-LR,rcp85,r1i1p1,IPSL,WRF381P,v1,MPI-M_MPI-ESM-LR_r1i1p1_IPSL_WRF381P_v1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
