dataset,domain,gcm_institution,gcm,experiment,ensemble,rcm_institution,rcm,rcm_version,member_id_CICA,cdbaisimip,cdbals,cd,cddbaisimip,cdd,clt,dtrbaisimip,dtrbals,dtr,evspsbl,fdbaisimip,fdbals,fd,hdbaisimip,hdbals,hd,huss,pet,r01baisimip,r01,r10baisimip,r10,r20baisimip,r20,r,rlds,rsds,rx1day,rx5day,sdiibaisimip,sdii,sfcwind,spi6,spei6,t,tn,tnn,trbaisimip,trbals,tr,tx35baisimip,tx35bals,tx35,tx40baisimip,tx40bals,tx40,tx,txx
EAS-22_NCC_NorESM1-M_rcp85_r1i1p1_GERICS_REMO2015_GERICS-REMO2015-v1,EAS-22,NCC,NorESM1-M,rcp85,r1i1p1,GERICS,REMO2015,v1,NCC_NorESM1-M_REMO,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EUR-11_NCC_NorESM1-M_historical_r1i1p1_GERICS_REMO2015_GERICS-REMO2015-v1,EUR-11,NCC,NorESM1-M,historical,r1i1p1,GERICS,REMO2015,v1,NCC_NorESM1-M_REMO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EUR-11_NCC_NorESM1-M_rcp26_r1i1p1_GERICS_REMO2015_GERICS-REMO2015-v1,EUR-11,NCC,NorESM1-M,rcp26,r1i1p1,GERICS,REMO2015,v1,NCC_NorESM1-M_REMO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EUR-11_NCC_NorESM1-M_rcp85_r1i1p1_GERICS_REMO2015_GERICS-REMO2015-v1,EUR-11,NCC,NorESM1-M,rcp85,r1i1p1,GERICS,REMO2015,v1,NCC_NorESM1-M_REMO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NAM-22_NCC_NorESM1-M_historical_r1i1p1_GERICS_REMO2015_GERICS-REMO2015-v1,NAM-22,NCC,NorESM1-M,historical,r1i1p1,GERICS,REMO2015,v1,NCC_NorESM1-M_REMO,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NAM-22_NCC_NorESM1-M_rcp26_r1i1p1_GERICS_REMO2015_GERICS-REMO2015-v1,NAM-22,NCC,NorESM1-M,rcp26,r1i1p1,GERICS,REMO2015,v1,NCC_NorESM1-M_REMO,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NAM-22_NCC_NorESM1-M_rcp85_r1i1p1_GERICS_REMO2015_GERICS-REMO2015-v1,NAM-22,NCC,NorESM1-M,rcp85,r1i1p1,GERICS,REMO2015,v1,NCC_NorESM1-M_REMO,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SAM-22_NCC_NorESM1-M_historical_r1i1p1_GERICS_REMO2015_GERICS-REMO2015-v1,SAM-22,NCC,NorESM1-M,historical,r1i1p1,GERICS,REMO2015,v1,NCC_NorESM1-M_REMO,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SAM-22_NCC_NorESM1-M_rcp26_r1i1p1_GERICS_REMO2015_GERICS-REMO2015-v1,SAM-22,NCC,NorESM1-M,rcp26,r1i1p1,GERICS,REMO2015,v1,NCC_NorESM1-M_REMO,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SAM-22_NCC_NorESM1-M_rcp85_r1i1p1_GERICS_REMO2015_GERICS-REMO2015-v1,SAM-22,NCC,NorESM1-M,rcp85,r1i1p1,GERICS,REMO2015,v1,NCC_NorESM1-M_REMO,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SEA-22_NCC_NorESM1-M_historical_r1i1p1_GERICS_REMO2015_GERICS-REMO2015-v1,SEA-22,NCC,NorESM1-M,historical,r1i1p1,GERICS,REMO2015,v1,NCC_NorESM1-M_REMO,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SEA-22_NCC_NorESM1-M_rcp26_r1i1p1_GERICS_REMO2015_GERICS-REMO2015-v1,SEA-22,NCC,NorESM1-M,rcp26,r1i1p1,GERICS,REMO2015,v1,NCC_NorESM1-M_REMO,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SEA-22_NCC_NorESM1-M_rcp85_r1i1p1_GERICS_REMO2015_GERICS-REMO2015-v1,SEA-22,NCC,NorESM1-M,rcp85,r1i1p1,GERICS,REMO2015,v1,NCC_NorESM1-M_REMO,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
WAS-22_NCC_NorESM1-M_historical_r1i1p1_GERICS_REMO2015_GERICS-REMO2015-v1,WAS-22,NCC,NorESM1-M,historical,r1i1p1,GERICS,REMO2015,v1,NCC_NorESM1-M_REMO,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
WAS-22_NCC_NorESM1-M_rcp26_r1i1p1_GERICS_REMO2015_GERICS-REMO2015-v1,WAS-22,NCC,NorESM1-M,rcp26,r1i1p1,GERICS,REMO2015,v1,NCC_NorESM1-M_REMO,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
WAS-22_NCC_NorESM1-M_rcp85_r1i1p1_GERICS_REMO2015_GERICS-REMO2015-v1,WAS-22,NCC,NorESM1-M,rcp85,r1i1p1,GERICS,REMO2015,v1,NCC_NorESM1-M_REMO,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
